Source,Target,Lag,MCI_Value,P_Value
AH,T,0,0.18541500382281778,1.0227680820216832e-05
AH,T,1,-0.19399437731545915,3.90852957405567e-06
T,AH,0,0.18541500382281778,1.0227680820216832e-05
$PM_{2.5}$,AH,0,-0.4133955220543238,2.106440655694625e-24
$Flu_A$,AH,0,0.14062628186288859,0.0008842071502593601
T,$PM_{2.5}$,1,-0.2750973519133504,3.9532158553089505e-11
AH,$PM_{2.5}$,0,-0.4133955220543238,2.106440655694625e-24
AH,$Flu_A$,0,0.14062628186288859,0.0008842071502593601
$PM_{2.5}$,$Flu_A$,2,-0.11417856849313698,0.006986565504630201
