from,to,direct,indirect,total
Policy,Influenza,0.3491445104771663,0.0,0.3491445104771663
Temperature,Primary Pollutants,0.6375151169763197,0.0,0.6375151169763197
Temperature,Ozone,-0.4923294187284981,0.08747297531309613,-0.404856443415402
Temperature,Particulates,0.48946159383462834,0.0,0.48946159383462834
Temperature,Influenza,0.22105184218826443,0.24555192979845133,0.46660377198671577
Moisture,Primary Pollutants,0.24691179499833749,0.0,0.24691179499833749
Moisture,Ozone,0.0,0.03387858385357171,0.03387858385357171
Moisture,Particulates,0.3701701256687542,0.0,0.3701701256687542
Moisture,Influenza,-0.10009901053408221,0.06980292542750584,-0.030296085106576373
Atmosphere,Primary Pollutants,-0.3285965573211928,0.0,-0.3285965573211928
Atmosphere,Ozone,0.6830871478835442,-0.04508648937275747,0.6380006585107867
Atmosphere,Particulates,-0.06801274436718348,0.0,-0.06801274436718348
Atmosphere,Influenza,0.0,-0.21742126166043343,-0.21742126166043343
Primary Pollutants,Ozone,0.1372092566651173,0.0,0.1372092566651173
Primary Pollutants,Influenza,0.09220809856018457,-0.03801325832869164,0.05419484023149293
Ozone,Influenza,-0.27704587323484675,0.0,-0.27704587323484675
Particulates,Influenza,0.15242067426259168,0.0,0.15242067426259168
